+1,ＰＬ,製造物責任
+1,ＰＤＡ,携帯情報端末
+1,トラウマ,心的外傷
+1,一時帰休,レイオフ
+1,ドナーカード,意思表示カード
+1,ＮＯｘ,窒素酸化物
+1,空中警戒管制機,ＡＷＡＣＳ
+1,緊急炉心冷却装置,ＥＣＣＳ
+1,クレディ・スイス・ファースト・ボストン,ＣＳＦＢ
+1,全米鉄鋼労組,ＵＳＷＡ
+1,朝鮮民主主義人民共和国,北朝鮮
+1,性的嫌がらせ,セクシュアル・ハラスメント
+1,ＣＯ２,二酸化炭素
+1,資金洗浄,マネーロンダリング
+1,ショッピングセンター,ＳＣ
+1,ＣＡＴＶ,ケーブルテレビ
+1,千年紀,ミレニアム
+1,欧州経済共同体,ＥＥＣ
+1,ＯＥＣＤ,経済協力開発機構
+1,ストックオプション,自社株購入権
+1,日本電信電話会社法,ＮＴＴ法
+1,ＡＶ,音響・映像
+1,ＨＤＴＶ,高精細度テレビ
+1,ハローワーク,公共職業安定所
+1,新生児集中治療室,ＮＩＣＵ
+1,ＩＤ,身分証明
+1,ＡＰＥＣ,アジア太平洋経済協力会議
+1,日本音楽著作権協会,ＪＡＳＲＡＣ
+1,情報技術,ＩＴ
+1,製造物責任法,ＰＬ法
+1,中央演算処理装置,ＣＰＵ
+1,ＦＩＦＡ,国際サッカー連盟
+1,携帯情報端末,ＰＤＡ
+1,コンプライアンス,法令順守
+1,全地球測位システム,ＧＰＳ
+1,西日本旅客鉄道,ＪＲ西日本
+1,夜間発着訓練,ＮＬＰ
+1,ダイレクトメール,ＤＭ
+1,ＧＮＰ,国民総生産
+1,硫黄酸化物,ＳＯｘ
+1,北米自由貿易協定,ＮＡＦＴＡ
+1,第３次戦略兵器削減条約,ＳＴＡＲＴ３
+1,放送衛星,ＢＳ
+1,公共職業安定所,ハローワーク
+1,マイノリティー,少数派
+1,ドナーカード,臓器提供意思表示カード
+1,インフラ,社会基盤
+1,バーチャルリアリティー,仮想現実
+1,東日本旅客鉄道,ＪＲ東日本
+1,モラルハザード,倫理の欠如
+1,パスワード,暗証番号
+1,東京ディズニーランド,ＴＤＬ
+1,ＣＤ,コンパクトディスク
+1,シビリアンコントロール,文民統制
+1,電子商取引,ＥＣ
+1,短観,企業短期経済観測調査
+1,ユニバーサル・スタジオ・ジャパン,ＵＳＪ
+1,ＣＴＢＴ,核実験全面禁止条約
+1,ケーブルテレビ,ＣＡＴＶ
+1,バーチャル,仮想
+1,通貨供給量,マネーサプライ
+1,世界自然保護基金,ＷＷＦ
+1,ＩＣＵ,集中治療室
+1,二酸化窒素,ＮＯ２
+1,製造物責任,ＰＬ
+1,ＣＤ,現金自動支払機
+1,ＮＡＴＯ,北大西洋条約機構
+1,ＩＴ,情報技術
+1,ＰＫＯ,国連平和維持活動
+1,現金自動支払機,ＣＤ
+1,ＭＤ,ミニディスク
+1,国連児童基金,ユニセフ
+1,ＧＰＳ,全地球測位システム
+1,心的外傷後ストレス障害,ＰＴＳＤ
+1,債務不履行,デフォルト
+1,株式公開買い付け,ＴＯＢ
+1,ガイドライン,日米防衛指針
+1,ＷＴＯ,世界貿易機関
+1,コンピューターグラフィックス,ＣＧ
+1,ＯＤＡ,政府開発援助
+1,大陸間弾道弾,ＩＣＢＭ
+1,ＣＧ,コンピューターグラフィックス
+1,国連教育科学文化機関,ユネスコ
+1,一酸化炭素,ＣＯ
+1,ユニセフ,国連児童基金
+1,ＩＯＣ,国際オリンピック委員会
+1,ＡＳＥＡＮ,東南アジア諸国連合
+1,セーフティーネット,安全網
+1,ソニー・コンピュータエンタテインメント,ＳＣＥ
+1,Ｊリーグ１部,Ｊ１
+1,液化天然ガス,ＬＮＧ
+1,金融派生商品,デリバティブ
+1,ＷＨＯ,世界保健機関
+1,ＰＴＳＤ,心的外傷後ストレス障害
+1,北朝鮮,朝鮮民主主義人民共和国
+1,アラブ首長国連邦,ＵＡＥ
+1,連合国軍総司令部,ＧＨＱ
+1,エイズウイルス,ＨＩＶ
+1,集中治療室,ＩＣＵ
+1,非営利組織,ＮＰＯ
+1,ＮＴＴ移動通信網,ＮＴＴドコモ
+1,ＣＥＯ,最高経営責任者
+1,アパルトヘイト,人種隔離
+1,国民総生産,ＧＮＰ
+1,日本たばこ産業,ＪＴ
+1,第２次戦略兵器削減条約,ＳＴＡＲＴ２
+1,ＩＭＦ,国際通貨基金
+1,窒素酸化物,ＮＯｘ
+1,ＤＮＡ,デオキシリボ核酸
+1,ＮＰＯ,非営利団体
+1,最高経営責任者,ＣＥＯ
+1,マネーロンダリング,資金洗浄
+1,ＯＳ,基本ソフト
+1,ＥＵ,欧州連合
+1,ホームページ,ＨＰ
+1,国際原子力機関,ＩＡＥＡ
+1,ＮＰＯ,非営利組織
+1,ＣＰＵ,中央演算処理装置
+1,セクシュアル・ハラスメント,性的嫌がらせ
+1,日本電信電話,ＮＴＴ
+1,基本ソフト,ＯＳ
+1,ＧＤＰ,国内総生産
+1,世界ボクシング協会,ＷＢＡ
+1,日本中央競馬会,ＪＲＡ
+1,モラルハザード,倫理観の欠如
+1,現金自動受払機,ＡＴＭ
+1,ＨＩＶ,エイズウイルス
+1,米連邦捜査局,ＦＢＩ
+1,フリーエージェント,ＦＡ
+1,全日本空輸,ＡＮＡ
+1,ドナー,臓器提供者
+1,国連平和維持軍,ＰＫＦ
+1,日本航空,ＪＡＬ
+1,ＮＴＴ移動通信網,ドコモ
+1,経済協力開発機構,ＯＥＣＤ
+1,ＡＴＭ,現金自動受払機
+1,世界保健機関,ＷＨＯ
+1,国際サッカー連盟,ＦＩＦＡ
+1,二酸化炭素,ＣＯ２
+1,松本智津夫,麻原彰晃
+1,政府開発援助,ＯＤＡ
+1,米航空宇宙局,ＮＡＳＡ
+1,国連平和維持活動,ＰＫＯ
+1,デリバティブ,金融派生商品
+1,米連邦準備制度理事会,ＦＲＢ
+1,日本オリンピック委員会,ＪＯＣ
+1,非政府組織,ＮＧＯ
+1,ＮＧＯ,非政府組織
+1,核実験全面禁止条約,ＣＴＢＴ
+1,アジア太平洋経済協力会議,ＡＰＥＣ
+1,東南アジア諸国連合,ＡＳＥＡＮ
+1,国内総生産,ＧＤＰ
+1,国際オリンピック委員会,ＩＯＣ
+1,世界貿易機関,ＷＴＯ
+1,日米防衛指針,ガイドライン
+1,国際通貨基金,ＩＭＦ
+1,欧州連合,ＥＵ
+1,北大西洋条約機構,ＮＡＴＯ
+1,ワールドカップ,Ｗ杯
+1,Ｇ７,先進７カ国
+1,ＮＰＴ,核拡散防止条約
+1,コーポレート・ガバナンス,企業統治
+1,異常接近,ニアミス
+1,ＢＯＤ,生物化学的酸素要求量
+1,上院,貴族院
+1,ＡＶ,オーディオビジュアル
+1,リテール,小口金融
+1,筋委縮性側索硬化症,ＡＬＳ
+1,新エネルギー・産業技術総合開発機構,ＮＥＤＯ
+1,ＭＲＩ,核磁気共鳴画像化装置
+1,ブラウザー,閲覧ソフト
+1,アメリカ・オンライン,ＡＯＬ
+1,反トラスト法,独占禁止法
+1,社会民主党,ＳＰＤ
+1,リスク,危険
+1,バランスシート,貸借対照表
+1,ＲＯＥ,株主資本利益率
+1,セクシュアル・ハラスメント,性的いやがらせ
+1,アウトソーシング,外部委託
+1,ＮＢＡ,米プロバスケットボール協会
+1,ＩＳＯ,国際標準化機構
+1,ＪＡＳ,日本農林規格
+1,ファンダメンタルズ,経済の基礎的諸条件
+1,リコール,解職請求
